dist,time
0.0000,27.1964
0.0000,13.4422
0.0000,15.6981
0.0000,12.2348
0.0000,10.5509
0.0000,11.6004
0.0000,11.0876
0.0000,11.2414
0.0000,11.8997
0.0000,10.7009
0.0000,11.0469
0.0000,11.3933
0.0000,10.7432
0.0000,10.6862
0.0000,11.1669
0.0500,20.0113
0.0500,20.3339
0.0500,20.6462
0.0500,19.7712
0.0500,19.8961
0.0500,19.9462
0.0500,20.1994
0.0500,20.2305
0.0500,20.4405
0.0500,19.4304
0.0500,19.9066
0.0500,19.7821
0.0500,20.1469
0.0500,20.2010
0.0500,19.7780
0.1000,45.8536
0.1000,47.6314
0.1000,45.7813
0.1000,46.9694
0.1000,47.0661
0.1000,46.6663
0.1000,45.3057
0.1000,46.3326
0.1000,46.0540
0.1000,47.6500
0.1000,46.1794
0.1000,45.8451
0.1000,52.5302
0.1000,46.0383
0.1000,45.7815
0.1500,115.0918
0.1500,97.1783
0.1500,90.1570
0.1500,88.1603
0.1500,89.6973
0.1500,88.7734
0.1500,88.6191
0.1500,95.2577
0.1500,89.2369
0.1500,98.9641
0.1500,110.0536
0.1500,94.2596
0.1500,93.6347
0.1500,88.2385
0.1500,88.3150
0.2000,144.8832
0.2000,145.5920
0.2000,145.0931
0.2000,168.7165
0.2000,172.9700
0.2000,145.1780
0.2000,145.0164
0.2000,146.4806
0.2000,160.8172
0.2000,162.8121
0.2000,175.2132
0.2000,157.9458
0.2000,143.9465
0.2000,145.8131
0.2000,154.9323
0.2500,234.2990
0.2500,261.3808
0.2500,214.8780
0.2500,214.6360
0.2500,242.2819
0.2500,265.7820
0.2500,216.3616
0.2500,215.8295
0.2500,237.5097
0.2500,251.0667
0.2500,243.6994
0.2500,213.3124
0.2500,232.4074
0.2500,255.4041
0.2500,249.0344
0.3000,296.9274
0.3000,348.7696
0.3000,365.6685
0.3000,301.3083
0.3000,347.1151
0.3000,367.2194
0.3000,300.7473
0.3000,334.6178
0.3000,364.2567
0.3000,303.2495
0.3000,335.1464
0.3000,368.1242
0.3000,311.1144
0.3000,334.5967
0.3000,369.8829
0.3500,388.9432
0.3500,462.8626
0.3500,408.8247
0.3500,487.6087
0.3500,448.5861
0.3500,442.7662
0.3500,486.6107
0.3500,434.5524
0.3500,476.6071
0.3500,412.2392
0.3500,454.9783
0.3500,403.7300
0.3500,473.6988
0.3500,431.2320
0.3500,468.7383
0.4000,602.4761
0.4000,606.6398
0.4000,489.7843
0.4000,558.8279
0.4000,547.0143
0.4000,607.4739
0.4000,578.4449
0.4000,621.8096
0.4000,606.9203
0.4000,515.9223
0.4000,598.4701
0.4000,580.5401
0.4000,616.2853
0.4000,639.8639
0.4000,520.8644
0.4500,716.9893
0.4500,701.4154
0.4500,642.6779
0.4500,761.9403
0.4500,721.8640
0.4500,683.2589
0.4500,742.6483
0.4500,734.1890
0.4500,693.2245
0.4500,695.5476
0.4500,709.4947
0.4500,715.0697
0.4500,629.2532
0.4500,710.4781
0.4500,734.2674
0.5000,798.3845
0.5000,768.2761
0.5000,829.1005
0.5000,780.5261
0.5000,846.4729
0.5000,813.5838
0.5000,806.4402
0.5000,856.9951
0.5000,807.4021
0.5000,858.9891
0.5000,805.3557
0.5000,839.7023
0.5000,841.1390
0.5000,837.3382
0.5000,851.7367
0.5500,937.4327
0.5500,920.8457
0.5500,915.5789
0.5500,919.5450
0.5500,899.9162
0.5500,896.2386
0.5500,919.7175
0.5500,910.9070
0.5500,894.6283
0.5500,919.8333
0.5500,945.3515
0.5500,916.7046
0.5500,908.7579
0.5500,915.8445
0.5500,916.3464
0.6000,993.5746
0.6000,966.5720
0.6000,963.2700
0.6000,973.6017
0.6000,972.1694
0.6000,976.8930
0.6000,970.7534
0.6000,978.2598
0.6000,974.3615
0.6000,955.9054
0.6000,982.5214
0.6000,958.1480
0.6000,978.0707
0.6000,965.0887
0.6000,974.7044
0.6500,1013.6748
0.6500,995.2647
0.6500,1010.0756
0.6500,1000.6767
0.6500,999.8270
0.6500,1007.7889
0.6500,999.3425
0.6500,1025.0610
0.6500,1009.2029
0.6500,1015.6843
0.6500,1001.5797
0.6500,1002.2077
0.6500,1012.3889
0.6500,1001.0117
0.6500,1006.5025
0.7000,1026.8255
0.7000,1027.8994
